都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
22071,270700461,青森県,三沢市,ひばり苑デイホスピスセンター,ヒバリエンデイホスピスセンター,指定療養通所介護,青森県三沢市大字三沢字南山60番地2号,,40.682979103115400,141.390757764000000,0176-58-7791,0176-58-5528,6420005006028,社会福祉法人　常光会,270700461,,,9,http://www.joukoukai.or.jp/,,,,
92011,970104493,栃木県,宇都宮市,療養通所介護センターほし,リョウヨウツウショカイゴセンターホシ,指定療養通所介護,栃木県宇都宮市星が丘1-7-38,,36.568005000000000,139.875257200000000,028-623-0337,028-622-2598,,医療法人社団　洋精会,970104493,,その他の休み：祝日、8/14.15、12/31～1/3,0,http://numaog.or.jp/,,,,
102067,1070600927,群馬県,沼田市,療養通所介護ハッピーデイナーシング,リョウヨウツウショカイゴハッピーデイナーシング,指定療養通所介護,群馬県沼田市久屋原町345-1内田病院　5階,内田病院　5階,36.665907000000000,139.104529100000000,0278-22-0267,0278-24-5315,,医療法人　大誠会　内田病院,1070600927,,,3,http://www.taiseikai-group.com,,,,
112224,1190800449,埼玉県,越谷市,地域密着型療養通所介護めぐり,チイキミッチャクガタリョウヨウツウショカイゴメグリ,指定療養通所介護,埼玉県越谷市弥十郎582番地1,,35.917314789001100,139.795686525053000,048-972-6307,048-972-6089,,株式会社リップル,1190800449,,,9,https://www.ripple-c.jp/,,,,
112224,1190800597,埼玉県,越谷市,在宅支援センター夢のつづき,ザイタクシエンセンター　ユメノツヅキ,指定療養通所介護,越谷市三野宮175-１,,35.928368300000000,139.751372600000000,489401732,489401733,9030003006314,合同会社エンフェルメリア虹,1190800597,,サービス提供については、09:00～16:30,0,https://yume.enfe-niji.jp/,,,,
112224,1190800704,埼玉県,越谷市,コスモ療養通所　アンジュ,コスモリョウヨウツウショアンジュ,指定療養通所介護,埼玉県　越谷市西方2-10-12,,35.884842600000000,139.798482000000000,048-940-8652,048-940-8653,30001009870,コスモプラス株式会社,1190800704,,,9,,,,,
112275,1192100152,埼玉県,朝霞市,TMG療養デイサービスあい,ティエムジィリョウヨウデイサアビスアイ,指定療養通所介護,埼玉県朝霞市西弁財1－8－21ＴＭＧサテライトクリニック朝霞台B棟,ＴＭＧサテライトクリニック朝霞台B棟,35.814190600000000,139.584305900000000,484236936,484236937,,医療法人社団　武蔵野会,1192100152,,,,http://www.tmg-houmonkango.jp/asakadai/,,,,
112038,1172000463,埼玉県,川口市,療養通所介護事業所　鳩ケ谷,リョウヨウツウショカイゴジギョウショ　ハトガヤ,指定療養通所介護,川口市坂下町1丁目8番16号,,35.832270000000000,139.735980500000000,048-281-7102,048-281-7321,7030005015521,公益社団法人埼玉県看護協会,1172000463,,営業日は火曜日・木曜日の2回／週のみです。,0,,,,,
113484,1173201359,埼玉県,鳩山町,彩西療養通所介護鳩山,サイサイリョウヨウツウショカイゴハトヤマ,指定療養通所介護,埼玉県比企郡鳩山町松ヶ丘四丁目1番4号,,35.991537978145000,139.351811810983000,049-296-5605,049-296-5606,,特定非営利活動法人彩西ナーシングケア,1173201359,,,,,,,,
111058,1176512166,埼玉県,さいたま市中央区,きりんの部屋,キリンノヘヤ,指定療養通所介護,埼玉県さいたま市中央区本町東4-17-6,,35.886740880858800,139.623031374056000,048-762-6253,048-762-6254,,有限会社　在宅ケアサービス　樹林,1176512166,,営業時間外は、転送電話にて管理者が対応,1,http://www.cs-kirin.co.jp/,,,,
131121,1391201280,東京都,世田谷区,東京リハビリテーションセンター世田谷　療養通所介護センター梅ヶ丘,トウキョウリハビリテーションセンターセタガヤ　リョウヨウツウショカイゴセンターウメガオカ,指定療養通所介護,東京都世田谷区松原六丁目３７番１号,,35.657684800000000,139.650629400000000,03-6379-1287,03-6379-0428,,一般財団法人脳神経疾患研究所,1391201280,,,0,http://www.tokyo-rehabili.jp/index.php,,,,
131156,1371506260,東京都,杉並区,ローズ療養通所介護,ローズリョウヨウツウショカイゴ,指定療養通所介護,東京都杉並区高円寺南4丁目29番2号ミヤシタビル高円寺メディカルプラザ１階A号室,ミヤシタビル高円寺メディカルプラザ１階A号室,35.703762500000000,139.650644800000000,03-3313-2014,03-3313-2114,4011301013330,株式会社ライフサイクロペディア,1371506260,,,6,http://rose.lifecyclopedia.jp,,,,
131181,1371804079,東京都,荒川区,療養通所それいゆ,リョウヨウツウショソレイユ,指定療養通所介護,東京都荒川区東尾久3-19-6,,35.747186400000000,139.771141700000000,03-6458-2890,03-5855-3745,,一般社団法人ナースプラネット,1371804079,,,0,http://nurseplanet.jp/,,,,
131229,1392201057,東京都,葛飾区,ナーシングルームぽのぽの,ナーシングルームポノポノ,指定療養通所介護,東京都葛飾区東金町３丁目41-27,,35.774294500000000,139.871854800000000,03-5876-6577,03-5876-6577,7011801021953,株式会社ウッディ,1392201057,,,,,,,,
132128,1393500135,東京都,日野市,ラピオンナーシングデイサービス,ラピオンナーシングデイサービス,指定療養通所介護,東京都日野市豊田2-47-1ルネッサンスコート・とよだ1階,ルネッサンスコート・とよだ1階,35.655394600000000,139.383033600000000,042-843-3366,042-843-3367,4013401005777,株式会社ラピオン,1393500135,,,0,http://www.yamanoue-st.com/,,,,
132110,1374302774,東京都,小平市,福生会療養通所介護センター,フクイクカイリョウヨウツウショカイゴセンター,指定療養通所介護,東京都小平市花小金井南町1-12-12西武プラザ花小金井103,西武プラザ花小金井103,35.723723500000000,139.513717000000000,042-464-8595,042-464-8595,5012705001201,特定非営利活動法人　福生会,1374302774,,少人数の為、電話はデイの送迎中は留守電にしている。,5,,,,,
142077,1472402468,神奈川県,茅ヶ崎市,療養通所マザー,リョウヨウツウショマザー,指定療養通所介護,神奈川県茅ヶ崎市柳島1-9-8,,35.324253752731000,139.383793132541000,0467-53-9925,0467-53-9926,7021001047179,株式会社マザー湘南,1472402468,,12月29日から1月3日休み,9,http://mothershonan.com/,,,,
141127,1473202214,神奈川県,横浜市旭区,横浜旭さくらんぼ療養通所介護,ヨコハマアサヒサクランボリョウヨウツウショカイゴ,指定療養通所介護,神奈川県横浜市旭区鶴ヶ峰本町３－６－３０久星鶴ヶ峰ハイツ１Ｆ,久星鶴ヶ峰ハイツ１Ｆ,35.478849800000000,139.539689500000000,045-958-1388,045-442-8898,6020002106639,有限会社　ジャパンメディカルエンタープライズ,1473202214,,8/11～8/15、12/30～1/3休み,8,http://sakura-nurse.jp/,,,,
141178,1473701546,神奈川県,横浜市青葉区,青葉区医師会療養通所介護事業所,アオバクイシカイリョウヨウツウショカイゴジギョウショ,指定療養通所介護,神奈川県横浜市青葉区荏田北3-8-6,,35.559062300000000,139.548845500000000,045-910-0026,045-910-0027,5020005001516,一般社団法人横浜市青葉区医師会,1473701546,,,0,https://www.aobakumc.or.jp/daycare.html,,,,
141046,1470401645,神奈川県,横浜市中区,横浜さくらんぼ療養通所介護,ヨコハマサクランボリョウヨウツウショカイゴ,指定療養通所介護,神奈川県横浜市中区翁町１－５－５関内スクエアービル１Ｆ,関内スクエアービル１Ｆ,35.441297000000000,139.637395200000000,045-227-8388,045-663-8380,6020002106639,有限会社ジャパンメディカルエンタープライズ,1470401645,,,30,http://sakura-nurse.jp,,,,
