都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
11088,150380046,北海道,札幌市厚別区,厚別老人保健施設ディ・グリューネン,アツベツロウジンホケンシセツディグリューネン,通所リハビリテーション,札幌市厚別区厚別町下野幌38-18,,43.039333000000000,141.502172800000000,011-898-5580,011-898-6760,,医療法人　東札幌病院,150380046,,なし,,http://www.d-grunen.com,,,,
11061,110510666,北海道,札幌市南区,医療法人　一仁会　南札幌脳神経外科,イリョウホウジン　イチジンカイ　ミナミサッポロノウシンケイゲカ,通所リハビリテーション,北海道札幌市南区川沿2条3丁目2番32号,,43.000115500000000,141.331320900000000,011-572-0330,011-572-2151,,医療法人　一仁会　　南札幌脳神経外科,110510666,,,0,msnsc.jp,,,,
11011,110118338,北海道,札幌市中央区,伏見啓明整形外科通所リハビリテーションセンター,フシミケイメイセイケイゲカツウショリハビリテーションセンター,通所リハビリテーション,北海道札幌市中央区南１４条西１９丁目１−１,,43.039722700000000,141.328041100000000,011-563-8400,011-563-1161,,医療法人社団伏見啓明整形外科,110118338,,,0,,,,,
11037,110219524,北海道,札幌市東区,札幌共立医院　通所リハビリテーション事業所,サッポロキョウリツイイン,通所リハビリテーション,北海道札幌市東区北48条東1丁目1番5号,,43.117582800000000,141.344471000000000,011-299-1250,011-299-5215,,札幌共立医院,110219524,,,15,,,,,
11037,110214350,北海道,札幌市東区,札苗病院通所リハビリテーションセンター,サツナエビョウインツウショリハビリテーションセンター,通所リハビリテーション,北海道札幌市東区東苗穂７条２丁目８番２０号,,43.094838100000000,141.412755300000000,011-783-3311,011-783-3343,,医療法人社団英仁会,110214350,,-,60,http://satsunae-hp.jp/,,,,
11070,110413325,北海道,札幌市西区,発寒中央病院　通所リハビリテ－ション,ハッサムチュウオウビョウイン　ツウショリハビリテ-ション,通所リハビリテーション,札幌市西区発寒５条６丁目10-1,,43.088164700000000,141.287136300000000,011-661-2111,011-661-7122,,医療法人聖愛会　　発寒中央病院,110413325,,-,20,http://www.seiaikai.or.jp/,,,,
11061,110513033,北海道,札幌市南区,医療法人hokule'afクリニックさっぽろ,イリョウホウジンホクレア　エフクリニックサッポロ,通所リハビリテーション,北海道札幌市南区中ノ沢1丁目12-20,,42.994729700000000,141.323019100000000,011-573-0777,011-573-0101,1430005005297,医療法人holule'a,110513033,,水曜日は午前のみ。,0,http://www.fclinic.jp/,,,,
11088,110513934,北海道,札幌市厚別区,医療法人社団　悠仁会　羊ヶ丘病院　通所リハビリテーション　スマイル,イリョウホウジンシャダン　ユウジンカイ　ヒツジガオカビョウイン　ツウショリハビリテーション　スマイル,通所リハビリテーション,北海道札幌市厚別区青葉町3丁目1番10号,,43.035174300000000,141.475042100000000,011-351-2211,011-351-2210,,医療法人社団　悠仁会,110513934,,,0,http://www.hitsujigaoka.com/,,,,
12122,156480014,北海道,留萌市,医療法人優仁会　介護老人保健施設サンライズ留萌　通所リハビリテーション,イリョウホウジンユウジンカイ　カイゴロウジンホケンシセツサンライズルモイ,通所リハビリテーション,留萌市東雲町2丁目,,43.933150516500500,141.677608094720000,0164-43-1195,0164-43-1184,,優仁会,156480014,,行事等の実施により、サービス提供時間帯が変更になる場合があります。,,,,,,
12025,111414157,北海道,函館市,道南勤医協　函館稜北病院,ドウナンキンイキョウ　ハコダテリョウホクビョウイン,通所リハビリテーション,北海道函館市中道２丁目５１番１号,,41.812290000000000,140.762300600000000,0138-54-3113,0138-52-4341,7440005000275,医療法人道南勤労者医療協会,111414157,,平日において、13時20分～16時30分も実施,40,https://ryohoku-h.hakodate.jp/,,,,
12025,111410346,北海道,函館市,社会医療法人高橋病院通所リハビリテーション,シャカイイリョウホウジンタカハシビョウインツウショリハビリテーション,通所リハビリテーション,北海道函館市元町32番18号,,41.765458600000000,140.712069000000000,0138-23-7221,0138-23-7233,8440005000266,社会医療法人高橋病院,111410346,,,,http://takahashi-group.jp/,,,,
12025,111418752,北海道,函館市,デイケアいしかわ,デイケアイシカワ,通所リハビリテーション,北海道函館市石川町464番地1,,41.834881100000000,140.743211400000000,0138-34-3351,0138-34-3352,,ベーネ函館クリニック,111418752,,,,,,,,
12025,151480043,北海道,函館市,介護老人保健施設ケンゆのかわ（通所リハビリテーション事業所）,カイゴロウジンホケンシセツケンユノカワ（ツウショリハビリテーションジギョウショ）,通所リハビリテーション,北海道函館市湯川町3丁目29番15号,,41.783655000000000,140.791242100000000,0138-59-1211,0138-59-3990,,社会福祉法人函館厚生院,151480043,,,0,http://ken-yuno.koseiin.or.jp/,,,,
12033,112013420,北海道,小樽市,医療法人社団太田整形外科医院通所リハビリテーション,イリョウホウジンシャダンオオタセイケイゲカイインツウショリハビリテーション,通所リハビリテーション,小樽市見晴町8-24,,43.138603200000000,141.162809500000000,0134-62-3131,0134-62-3132,,医療法人社団　太田整形外科医院,112013420,,なし,10,http://www.orth-ota.or.jp/,,,,
12033,112014816,北海道,小樽市,医療法人社団　青優会　南小樽病院　通所リハビリテーションすまいる,イリョウホウジンシャダン　セイユウカイ　ミナミオタルビョウイン　ツウショリハビリテーションスマイル,通所リハビリテーション,小樽市潮見台1丁目5番3号,,43.179252100000000,141.013102800000000,0134-21-2333,0134-21-2600,6430005008304,医療法人社団　青優会　南小樽病院,112014816,,,0,http://minamiotaru-hospital.com,,,,
12033,112013719,北海道,小樽市,医療法人たんぽぽ会　島田脳神経外科,イリョウホウジンタンポポカイ　シマダノウシンケイゲカ,通所リハビリテーション,北海道小樽市錦町1番2号,,43.205796300000000,140.997600400000000,0134-22-4310,0134-22-4324,,医療法人たんぽぽ会　島田脳神経外科,112013719,,,,https://shimada-noushinkei.com,,,,
12041,172907446,北海道,旭川市,旭川リハビリテーション病院　通所リハビリセンター,アサヒカワリハビリテーションビョウイン　ツウショリハビリセンター,通所リハビリテーション,北海道旭川市緑が丘東1条1丁目1番1号,,43.730526500000000,142.387107600000000,0166-65-0101,0166-65-1211,,医療法人社団shindo,172907446,,,,http://www.reha.or.jp,,,,
12084,115011934,北海道,北見市,医療法人ケイ・アイ　オホーツク海病院　指定通所リハビリテーション事業所,イリョウホウジンケイ・アイ　オホーツクカイビョウイン　シテイツウショリハビリテーションジギョウショ,通所リハビリテーション,北見市端野町二区793番地1,,43.863898200000000,143.928217400000000,0157-67-6000,0157-67-6066,,医療法人ケイ・アイ,115011934,,,0,http://www.okhotsk-kai.com/,,,,
