都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012106,0175700707,北海道,岩見沢市,介護付有料老人ホームサンヴィレッジ岩見沢元町,カイゴツキユウリョウロウジンホームサンヴィレッジイワミザワモトマチ,特定施設入居者生活介護（有料老人ホーム）,岩見沢市元町３条東５丁目１番５号サンヴィレッジ岩見沢元町,サンヴィレッジ岩見沢元町,43.211259000000000,141.766655500000070,0126-32-2000,0126-32-2001,,株式会社　サンメディカル,0175700707,,,24,http://www.sunmedical.net,,,,
011029,0170202279,北海道,札幌市北区,フルールハピネスしのろ,フルールハピネス　シノロ,特定施設入居者生活介護（有料老人ホーム）,札幌市北区篠路10条1丁目1番1号,,43.157905500000000,141.353428900000040,011-776-3333,011-776-3388,,株式会社萌福祉サービス,0170202279,,,100,http://www.moe-fukushi.com,,,,
011070,0170402127,北海道,札幌市西区,介護付有料老人ホームほのぼの山の手通,カイゴツキユウリョウロウジンホームホノボノヤマノテドオリ,特定施設入居者生活介護（有料老人ホーム）,札幌市西区西野２条５丁目５－１,,43.077793500000000,141.279026400000020,011-669-5212,011-669-5213,,有限会社ほのぼの月寒,0170402127,,,27,http://www.t-honobono.com,,,,
011053,0170506141,北海道,札幌市豊平区,ニチイケアセンター豊平,ニチイケアセンタートヨヒラ,特定施設入居者生活介護（有料老人ホーム）,北海道札幌市豊平区西岡４条３条７番１８号,,42.992248300000000,141.376872800000000,011-857-2711,011-857-2712,,株式会社ニチイ学館,0170506141,,,0,http://www.nichiigakkan.co.jp,,,,
011061,0170500433,北海道,札幌市南区,光ハイツ・ヴェラス　藤野,ヒカリハイツ・ウ゛ェラス　フジノ,特定施設入居者生活介護（有料老人ホーム）,札幌市南区藤野3条11丁目10-11,,42.960599200000000,141.278440300000060,011-596-5050,011-596-5577,6430001013893,株式会社　光ハイツ・ヴェラス,0170500433,,,187,http://www.varus.co.jp,,,,
012076,0174601617,北海道,帯広市,シルバーシティ十勝おびひろ,シルバーシティ　トカチ　オビヒロ,特定施設入居者生活介護（有料老人ホーム）,北海道帯広市西6条南10丁目51番地1,,42.920032700000000,143.195714400000040,0155-24-1111,0155-24-1112,9460001003682,株式会社太平洋シルバーサービス北海道,0174601617,,,60,http://www.silvercity.jp,,,,
013455,0171501273,北海道,森町,特定施設入居者生活介護施設　豊生園,トクテイシセツニュウキョシャセイカツカイゴシセツ　ホウセイエン,特定施設入居者生活介護（有料老人ホーム）,茅部郡森町字上台町３２６番地の８豊生園,豊生園,42.097706400000000,140.561142400000000,01734-2-8555,01374-2-4500,1440005001881,特定非営利活動法人ラメールもり,0171501273,,,0,http://www.lamer-mori.org/,,,,
012025,0171404940,北海道,函館市,グッドタイムホーム・湯川,グッドタイムホーム・ユノカワ,特定施設入居者生活介護（有料老人ホーム）,北海道函館市湯川町」1丁目11番6号,,41.777040799999990,140.779972000000000,0138-59-1294,0138-84-6035,2380005000451,創生事業団,0171404940,,,,http://goodtimehome.com/,,,,
012025,0171404346,北海道,函館市,グッドタイムホーム・桔梗,グッドタイムホーム・キキョウ,特定施設入居者生活介護（有料老人ホーム）,北海道函館市桔梗１丁目２７番８号グッドタイムホーム・桔梗,グッドタイムホーム・桔梗,41.826289900000000,140.730416699999980,0138-46-1060,0138-46-1063,,株式会社創生事業団,0171404346,,,,,,,,
012025,0171404908,北海道,函館市,介護付き有料老人ホーム白ゆり,カイゴツキユウリョウロウジンホームシラユリ,特定施設入居者生活介護（有料老人ホーム）,北海道函館市富岡町1丁目23番12号,,41.801394000000000,140.746752199999950,0138-44-5858,0138-44-6000,,株式会社メディカルシャトー函館,0171404908,,,0,http://www.shirayuri.gr.jp/,,,,
012041,0172907719,北海道,旭川市,ぐるーぷりびんぐ　ゆあん,グループリビングユアン,特定施設入居者生活介護（有料老人ホーム）,旭川市永山3条18丁目1番5号,,43.809722300000000,142.433149000000000,0166-74-7756,0166-48-5833,,株式会社ゆあん,0172907719,,,,https://yuan.co.jp,,,,
012041,0172907792,北海道,旭川市,グッドタイムホーム・東光,グッドタイムホーム・トウコウ,特定施設入居者生活介護（有料老人ホーム）,旭川市東光1条5丁目4番7号グッドタイムホーム・東光,グッドタイムホーム・東光,43.754502100000000,142.407090800000000,0166-37-0294,0166-34-8294,9290001018995,株式会社創生事業団,0172907792,,,0,http://www.goodtimehome.com/,,,,
012041,0172907537,北海道,旭川市,介護付有料老人ホームあかり,カイゴツキユウリョウロウジンホームアカリ,特定施設入居者生活介護（有料老人ホーム）,北海道旭川市東光8条9丁目１-２０,,43.746765699999990,142.419127600000000,0166-33-2525,0166-33-2010,,有限会社ケア企画,0172907537,,,,,,,,
012068,0174142489,北海道,釧路市,グッドタイムホーム・釧路,グッドタイムホーム・クシロ,特定施設入居者生活介護（有料老人ホーム）,北海道釧路市北大通4丁目１番地１,,42.983581400000000,144.385103000000000,0154-65-5294,0154-65-7295,9290001018995,株式会社創生事業団,0174142489,,,75,http://goodtimehome-north.com/,,,,
