都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012181,0177200128,北海道,赤平市,ケアハウスすいこう　特定施設入居者生活介護事業所,ケアハウススイコウ　トクテイシセツニュウキョシャセイカツカイゴジギョウショ,特定施設入居者生活介護（軽費老人ホーム）,北海道赤平市百戸町西１丁目３番地,,43.544912900000000,142.081855000000020,0125-34-2735,0125-34-2310,,社会福祉法人　北海道光生舎,0177200128,,,50,http://homepagel.nifty.com/koseisha/,,,,
012041,0172900631,北海道,旭川市,ケアハウス　フォルテ　特定施設入居者生活介護,ケアハウス　フォルテ　トクテイシセツニュウキョシャセイカツカイゴ,特定施設入居者生活介護（軽費老人ホーム）,北海道旭川市東旭川町上兵村557番地32,,43.767319800000000,142.443963100000020,0166-36-7373,0166-36-6262,6450005000275,社会福祉法人　東旭川宏生会,0172900631,,,0,http://www.h-kouseikai.jp/,,,,
012114,0155380017,北海道,網走市,ケアハウスハーモニーヴィレッジ,ケアハウスハーモニーゔィレッジ,特定施設入居者生活介護（軽費老人ホーム）,北海道網走市字潮見１９２番地,,43.998086699999990,144.269118800000000,0152-45-3796,0152-45-3791,3460305001413,社会福祉法人　網走愛育会,0155380017,,,,http://www.isenosato.sakura.ne.jp,,,,
012343,0171300205,北海道,北広島市,社会福祉法人慈光園　ケアハウスきたひろしま,シャカイフクシホウジンジコウエン　ケアハウスキタヒロシマ,特定施設入居者生活介護（軽費老人ホーム）,北海道北広島市輪厚５１２番地４,,42.949510100000000,141.506694000000040,011-377-1020,011-377-2225,6430005000566,社会福祉法人慈光園,0171300205,,,50,http://www.fuku-jikouen.or.jp/index.php,,,,
012360,0171501893,北海道,北斗市,ケアハウスそよかぜ,ケアハウスソヨカゼ,特定施設入居者生活介護（軽費老人ホーム）,北海道北斗市桜岱350番5ケアハウス　そよかぜ,ケアハウス　そよかぜ,41.822379600000000,140.622048500000000,0138-73-0001,0138-73-0002,2440005001229,社会福祉法人上磯清風会,0171501893,,,50,http://carehouse-soyokaze.com,,,,
012025,0171400146,北海道,函館市,ケアハウス　センテナリアン,ケアハウス　センテナリアン,特定施設入居者生活介護（軽費老人ホーム）,北海道函館市桔梗町557番地,,41.860445800000000,140.753513399999970,0138-46-8255,0138-46-8299,,社会福祉法人　敬聖会,0171400146,,,80,http://www.keiseikai-h.or.jp,,,,
012041,0172903650,北海道,旭川市,軽費老人ホームケアハウス忠和,ケイヒロウジンホームケアハウスチュウワ,特定施設入居者生活介護（軽費老人ホーム）,北海道旭川市忠和3条7丁目2-12,,43.773292300000000,142.327364200000030,0166-61-0366,0166-61-2181,4450005000244,社会福祉法人湯らん福祉会,0172903650,,,50,http://www.youranfukushikai.jp/,,,,
012041,0172901878,北海道,旭川市,サンライズ特定施設入居者生活介護,サンライズトクテイシセツニュウキョシャセイカツカイゴ,特定施設入居者生活介護（軽費老人ホーム）,旭川市永山町１０丁目２６３番地１,,43.802093400000000,142.445703600000000,0166-40-1215,0166-46-5571,6450005000234,社会福祉法人旭川水芝会,0172901878,,,50,http://asahikawa-suishikai.jp/,,,,
012084,0175000371,北海道,北見市,ケアハウスきたみ花園,ケアハウスキタミハナゾノ,特定施設入居者生活介護（軽費老人ホーム）,北海道北見市花園町50-11,,43.786349900000000,143.888069200000020,0157-22-8851,0157-22-8856,,社会福祉法人　北見有愛会,0175000371,,,0,http://www.kitami-yuuaikai.or.jp/,,,,
012084,0175000470,北海道,北見市,ケアハウス　ゆうゆう,ケアハウス　ユウユウ,特定施設入居者生活介護（軽費老人ホーム）,北海道北見市東相内町171番地57,,43.801780200000000,143.816659800000020,0157-66-1515,0157-66-1223,,社会福祉法人　北見慈恵会,0175000470,,,0,http://www.jikeikai.sakura.ne.jp/,,,,
012068,0174142208,北海道,釧路市,軽費老人ホーム　ケアハウスよねまち,ケイヒロウジンホーム　ケアハウスヨネマチ,特定施設入居者生活介護（軽費老人ホーム）,北海道釧路市米町4丁目3番15号軽費老人ホーム　ケアハウスよねまち,軽費老人ホーム　ケアハウスよねまち,42.968833800000000,144.379361900000050,0154-43-3343,0154-43-3313,,社会福祉法人　釧路創生会,0174142208,,,50,http://www.kushiro-souseikai.com,,,,
012068,0174142349,北海道,釧路市,軽費老人ホームケアハウスやまざくら,ケイヒロウジンホームケアハウスヤマザクラ,特定施設入居者生活介護（軽費老人ホーム）,北海道釧路市桜ヶ岡４丁目９番１号,,42.964161600000000,144.426706800000030,0154-92-3939,0154-91-4939,,社会福祉法人釧路創生会,0174142349,,,0,http://www.kushiro-souseikai.com/,,,,
012106,0175700368,北海道,岩見沢市,ケアハウス岩見沢,ケアハウス　イワミザワ,特定施設入居者生活介護（軽費老人ホーム）,岩見沢市北２条西１２丁目４－１,,43.203678800000000,141.751029499999960,0126-33-8900,0126-33-8905,3430005006789,社会福祉法人岩見沢福祉会,0175700368,,,80,http://www.iwafuku.jp,,,,
012131,0173601410,北海道,苫小牧市,ケアハウス恵みの里,ケアハウスメグミノサト,特定施設入居者生活介護（軽費老人ホーム）,北海道苫小牧市松風町１番１１号,,42.637174398619820,141.560098203704820,0144-71-1601,0144-75-7410,2430005009198,社会福祉法人双樹会,0173601410,,,100,http://www.mesato.sakura.ne.jp/,,,,
012131,0173600933,北海道,苫小牧市,ケアハウスはぁ～と,ケアハウスハァ～ト,特定施設入居者生活介護（軽費老人ホーム）,北海道苫小牧市明徳町４丁目４番１７号,,42.613879600000000,141.489435900000000,0144-67-8101,0144-67-9810,,社会福祉法人ふれんど,0173600933,,,0,http://www.friend.or.jp/,,,,
012050,0173501016,北海道,室蘭市,特定施設入所者生活介護オパール室蘭,トクテイシセツニュウショシャセイカツカイゴオパールムロラン,特定施設入居者生活介護（軽費老人ホーム）,室蘭市高平町16番8,,42.356256700000000,141.004136900000050,0143-46-6150,0143-46-6151,5430005010120,社会福祉法人上寿の会,0173501016,,,0,http://www.jyoujyu.net/,,,,
012050,0173501891,北海道,室蘭市,ケアハウスオパール八丁平,ケアハウスオパールハッチョウダイラ,特定施設入居者生活介護（軽費老人ホーム）,北海道室蘭市八丁平３丁目２２番１５号ケアハウスオパール八丁平,ケアハウスオパール八丁平,42.382505274925360,141.012969780950920,0143-84-1220,0143-43-1225,5430005010120,上寿の会,0173501891,,,,http://jyoujyu.net/,,,,
012050,0173501321,北海道,室蘭市,指定特定施設入居者生活介護事業所　ふれあい母恋,シテイトクテイシセツニュウキョシャセイカツカイゴジギョウショ　フレアイボコイ,特定施設入居者生活介護（軽費老人ホーム）,室蘭市新富町1丁目2番22号,,42.316019800000000,140.988737099999980,0143-24-2011,0143-24-7211,7430005010143,社会福祉法人母恋,0173501321,,,50,http://www.shafukubokoi.net,,,,
012157,0176100170,北海道,美唄市,ケアハウス　ハーモニー　特定施設入居者生活介護事業所,ケアハウス　ハーモニー　トクテイシセツニュウキョシャセイカツカイゴジギョウショ,特定施設入居者生活介護（軽費老人ホーム）,北海道美唄市東7条南2丁目5番23号,,43.327877099999990,141.884227700000000,0126-63-0533,0126-63-0571,2430005006781,社会福祉法人　恵和会,0176100170,,,0,http://www.b-keiwakai.or.jp/,,,,
012165,0177300068,北海道,芦別市,ケアハウスあしべつ特定施設入居者生活介護,ケアハウスアシベツトクテイシセツニュウキョシャセイカツカイゴ,特定施設入居者生活介護（軽費老人ホーム）,芦別市本町1065番地の27,,43.515593863022744,142.184250352639760,0124-24-6600,0124-23-3300,5430005007430,社会福祉法人芦別白光舎,0177300068,,,,http://www15.plala.or.jp/care-ashibetsu/,,,,
012211,0173200858,北海道,名寄市,医療法人　臨生会　ケアハウス　ノーデンス西1条,イリョウホウジン　リンセイカイ　ケアハウス　ノーデンスニシイチジョウ,特定施設入居者生活介護（軽費老人ホーム）,名寄市西1条南10丁目21番地,,44.345800300000000,142.461609899999980,01654-8-7877,01654-8-7883,,医療法人　臨生会,0173200858,,,29,,,,,
012246,0171100399,北海道,千歳市,ケアハウス千歳ふくろうの園,ケアハウスチトセフクロウノソノ,特定施設入居者生活介護（軽費老人ホーム）,千歳市大和４丁目３番１１,,42.820940400000000,141.630086200000050,0123-40-1165,0123-40-1166,,社会福祉法人いちはつの会,0171100399,,,0,http://midorino.jp/,,,,
012254,0177540671,北海道,滝川市,滝川市ケアハウス緑寿園,タキカワシケアハウスリョクジュエン,特定施設入居者生活介護（軽費老人ホーム）,北海道滝川市江部乙町東12丁目13番16号,,43.628778100000000,141.944538600000000,0125-75-2101,0125-75-5302,4430005007423,社会福祉法人滝川市社会福祉事業団,0177540671,,,,http://www.hokkaido-fukushi.jp,,,,
012335,0173700535,北海道,伊達市,特定施設入居者生活介護　ケアハウス　セイントヒルズ,トクテイシセツニュウキョシャセイカツカイゴ,特定施設入居者生活介護（軽費老人ホーム）,北海道伊達市舟岡町２１２番地１３,,42.465438000000000,140.881508500000000,0142-23-7722,0142-23-7723,8430005010563,社会福祉法人思誠会,0173700535,,,50,http://shiseikai-hokkaido.jp,,,,
012301,0173501529,北海道,登別市,特定施設ケアハウスアンデルセンの丘,トクテイシセツケアハウスアンデルセンノオカ,特定施設入居者生活介護（軽費老人ホーム）,登別市富岸町1丁目7番地８,,42.387783799999950,141.073000200000020,0143-88-2272,0143-88-2273,2430005010156,社会福祉法人彩咲会,0173501529,,,50,http://saishoukai.or.jp/,,,,
012351,0177600269,北海道,石狩市,特定施設入居者生活介護　ケアハウスいしかり,トクテイシセツニュウキョシャセイカツカイゴ　ケアハウスイシカリ,特定施設入居者生活介護（軽費老人ホーム）,石狩市花畔360-26,,43.167140000000000,141.304954500000000,0133-75-1101,0133-75-1102,6430005004724,社会福祉法人　瓔珞会,0177600269,,,50,http://yourakukai.or.jp,,,,
015857,0173600321,北海道,安平町,ケアハウスサックル,ケアハウスサックル,特定施設入居者生活介護（軽費老人ホーム）,勇払郡安平町早来栄町１５７-１,,42.758859700000000,141.811465499999940,0145-22-4646,0145-22-4647,2430005008844,富門華会,0173600321,,,,http://fumonkekai.com/,,,,
013374,0171500697,北海道,七飯町,軽費老人ホーム(ケアハウス)フェニックスコート,ケイヒロウジンホーム（ケアハウス）フェニックスコート,特定施設入居者生活介護（軽費老人ホーム）,北海道亀田郡七飯町鳴川3丁目25番1号,,41.888796153685405,140.694518250314560,0138-65-1188,0138-65-1162,7440005001257,社会福祉法人七飯有隣会,0171500697,,,0,http://www.nanaeyurinkai.or.jp,,,,
013374,0171501109,北海道,七飯町,ケアハウス豊寿,ケアハウスホウジュ,特定施設入居者生活介護（軽費老人ホーム）,北海道亀田郡七飯町本町７丁目６５７番地５,,41.896414300000000,140.704290300000020,0138-66-3377,0138-66-3388,9440005000348,社会福祉法人函館厚生院,0171501109,,,0,http://houju.koseiin.or.jp,,,,
013463,0171501448,北海道,八雲町,ケアハウスひまわり,ケアハウスヒマワリ,特定施設入居者生活介護（軽費老人ホーム）,北海道二海郡八雲町栄町１３番１,,42.256220700000000,140.258662299999970,0137-62-2727,0137-62-2788,,社会福祉法人立栄会,0171501448,,,29,http://www.ryueikai.or.jp/carehouse/,,,,
013463,0171501455,北海道,八雲町,ケアハウスなのはな,ケアハウスナノハナ,特定施設入居者生活介護（軽費老人ホーム）,北海道二海郡八雲町栄町１３番１,,42.256359665521700,140.257294373402340,0137-62-2727,0137-62-2788,,社会福祉法人立栄会,0171501455,,,29,http://www.ryueikai.or.jp/carehouse/,,,,
014320,0177100203,北海道,新十津川町,特定施設入居者生活介護　ケアハウスハーブガーデン新十津川,トクテイシセツニュウキョシャセイカツカイゴ　ケアハウスハーブガーデンシントツカワ,特定施設入居者生活介護（軽費老人ホーム）,樺戸郡新十津川町字中央５１５番地８,,43.544539400000000,141.874802199999980,0125-76-2045,0125-76-4877,6430005007438,社会福祉法人　明和会,0177100203,,,50,http://www.maywakai.or.jp/,,,,
