都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012106,0175701192,北海道,岩見沢市,サービス付き高齢者向け住宅オアシス３番館,サービスツキコウレイシャムケジュウタクオアシスサンバンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道岩見沢市２条西５丁目２番地７プライムホームオアシス１・２・３番館,プライムホームオアシス１・２・３番館,43.202965300000000,141.761059199999980,0126-24-5969,0126-24-8182,,有限会社オアシス,0175701192,,,0,http://www.oasys-care.co.jp,,,,
012033,0172001448,北海道,小樽市,ヴェラス・クオーレ小樽,ベラスクオーレオタル,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市花園１丁目１番９号KGビル,KGビル,43.193708700000000,140.999736399999960,0134-24-8080,0134-24-8058,6430001013893,株式会社光ハイツヴェラス,0172001448,,,69,http://www.varus.co.jp/,,,,
012114,0175300755,北海道,網走市,サービス付き高齢者向け住宅　花・水・木,サービスツキコウレイシャムケジュウタク　ハナ・ミズ・キ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道網走市字二ツ岩1番地1サービス付き高齢者向け住宅　花・水・木,サービス付き高齢者向け住宅　花・水・木,44.049628800000000,144.258274800000000,0152-44-1288,0152-44-6488,5460301004566,タカハシライフサポート株式会社,0175300755,,,47,http://www.takahasi.co.jp,,,,
012149,0176700839,北海道,稚内市,サービス付き高齢者向け住宅　ふれあいの里わっかない風華,サービスツキコウレイシャムケジュウタク　フレアイノサトワッカナイフウカ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道稚内市中央3丁目6番1号,,45.416727683456380,141.677409624893930,0162-22-1311,0162-22-1265,,日総ふれあいケアサービス株式会社,0176700839,,,36,http://nisso-fcs.jp/,,,,
012254,0177540689,北海道,滝川市,特定施設入居者生活介護カーサシーザーズ３－３,トクテイシセツニュウキョシャセイカツカイゴカーサシーザーズサンノサン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道滝川市栄町3丁目3番16号KANBE　MEDICARE　BLD,KANBE　MEDICARE　BLD,43.557869700000000,141.906595400000010,0125-74-5001,0125-74-5002,8430002052071,有限会社　クリニカ,0177540689,,,,http://www.caeser.or.jp/casa/,,,,
012343,0171300494,北海道,北広島市,ふれあいの里華れん,フレアイノサトカレン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道北広島市虹ヶ丘７丁目２－３,,43.022239700000000,141.487838900000040,011-375-5602,011-375-5604,1430001061278,日総ふれあいケアサービス株式会社,0171300494,,,50,http://nisso-fcs.jp/,,,,
016926,0174200691,北海道,中標津町,特定施設入居者生活介護つなぐ,トクテイシセツニュウキョシャセイカツカイゴツナグ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道標津郡中標津町西11条南8丁目3番地サービス付き高齢者向け住宅つなぐ,サービス付き高齢者向け住宅つなぐ,43.536830500000000,144.969484100000040,0153-79-8800,0153-79-8803,3462501000693,株式会社リガール,0174200691,,,60,http://tsunagu-care.com/,,,,
012033,0172002479,北海道,小樽市,サービス付き高齢者向け住宅　ウィステリア小樽稲穂,サービスツキコウレイシャムケジュウタク　ウィステリアオタルイナホ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市稲穂1丁目4番2号,,43.195097900000000,140.998312500000000,0134-34-1722,0134-34-1723,6430001025872,株式会社メディカルシステムネットワーク,0172002479,,,,http://www.msnw-wis.jp,,,,
012033,0172001836,北海道,小樽市,特定施設入居者生活介護マイラシーク塩谷,トクテイシセツニュウキョシャセイカツカイゴマイラシークシオヤ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市塩谷2丁目2番21号,,43.215947300000000,140.942857900000000,0134-64-1185,0134-64-1191,,株式会社泰進建設,0172001836,,,,https://kktaishin.co.jp/shioya/,,,,
012041,0172904757,北海道,旭川市,ふれあいの里　華音,フレアイノサトカノン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,旭川市4条通17丁目1481－1,,43.764508700000000,142.374732000000000,0166-23-3040,0166-23-7077,,日総ふれあいケアサービス株式会社,0172904757,,,53,http://nisso-fcs.jp/,,,,
012041,0172908071,北海道,旭川市,ブルーテラス神楽,ブルーテラスカグラ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道旭川市神楽2条9丁目2番27号ブルーテラス神楽,ブルーテラス神楽,43.757847800000000,142.356126000000000,0166-76-9180,0166-76-9181,,ブルー・ケア株式会社,0172908071,,,,https://kagura.blue-care.net,,,,
012041,0172907701,北海道,旭川市,ブルーテラス大雪,ブルーテラスタイセツ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道旭川市大雪通7丁目506番の16,,43.783117500000000,142.389781400000000,0166-76-4738,0166-76-4739,5430001078483,ブルー・ケア株式会社,0172907701,,,,,,,,
012076,0174601930,北海道,帯広市,ケアタウンとてっぽの丘るくる,ケアタウントテッポノオカルクル,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道帯広市西7条南26丁目13番地1,,42.901419569893330,143.197157819712880,0155-25-7171,0155-22-2525,5460101003917,株式会社　フジライフ,0174601930,,,50,http://www.rukuru.net/,,,,
012076,0174601336,北海道,帯広市,ベルラヴィるくる,ベルラウ゛ィルクル,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,帯広市東4条南10丁目15番地,,42.921055700000000,143.211420999999970,0155-26-4111,0155-26-6030,5460101003917,株式会社　フジライフ,0174601336,,,0,http://www.rukuru.net/,,,,
012114,0175300664,北海道,網走市,医療法人社団朗愛会　ありあけ２番館,イリョウホウジンシャダンロウアイカイ　アリアケ２バンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道網走市字潮見１５７番地２,,31.904819000000000,131.440894900000000,0152-61-6061,0152-61-6062,,医療法人社団朗愛会,0175300664,,,,http://www.rouaikai.jp/ariake2.html,,,,
012106,0175701168,北海道,岩見沢市,混合型特定施設入居者生活介護　明日家の杜,コンゴウガタトクテイシセツニュウキョシャセイカツカイゴ　アスカノモリ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道岩見沢市7条東7丁目2番地４,,43.202699200000000,141.776160800000070,0126-38-5080,0126-38-5080,,株式会社メディケアサービス北海道,0175701168,,,,http://asmo.imm.co.jp,,,,
012106,0175701176,北海道,岩見沢市,介護付き高齢者住宅かえん,カイゴツキコウレイシャジュウタクカエン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道岩見沢市6条西13丁目38-1,,43.195927200000000,141.756621000000000,0126-35-1514,0126-22-1518,,クリーンハウス株式会社,0175701176,,,27,http://www.clh-kk.com/,,,,
012131,0173601808,北海道,苫小牧市,いちい,イチイ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道苫小牧市青葉町2丁目9番19号,,42.629703144073574,141.569834918385370,0144-75-8200,0144-75-8222,1430001061278,日総ふれあいケアサービス株式会社,0173601808,,,32,http://www.nisso-fcs.jp/,,,,
012131,0173602251,北海道,苫小牧市,介護付有料老人ホーム「セントラル表町」,カイゴツキユウリョウロウジンホームセントラルオモテマチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道苫小牧市表町５丁目１１番５号,,42.639964727305510,141.598328131213400,0144-31-2220,0144-31-2333,,社会福祉法人ふれんど,0173602251,,,0,http://www.friend.or.jp/roujin3/c_omotemati.html,,,,
012050,0173502261,北海道,室蘭市,介護付有料老人ホーム　さわやか室蘭弐番館,カイゴツキユウリョウロウジンホーム　サワヤカムロランニバンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道室蘭市天神町27番12号介護付有料老人ホーム　さわやか室蘭弐番館,介護付有料老人ホーム　さわやか室蘭弐番館,42.372216200000000,141.025138700000000,0143-35-9006,0143-35-9007,1290801006728,株式会社さわやか倶楽部,0173502261,,,,http://www.sawayakaclub.jp/murorannibankan/,,,,
012220,0176000164,北海道,三笠市,介護付き高齢者住宅ほのか三笠,カイゴツキコウレイシャジュウタクホノカミカサ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道三笠市幸町8-2,,43.245524000000000,141.875277200000030,01267-4-5020,01267-4-5022,,クリーンハウス株式会社,0176000164,,,30,https://www.clh-kk.com/ikoinosato/,,,,
012203,0173200882,北海道,士別市,紫苑館,シオンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道士別市東1条15丁目3144－166紫苑舘,紫苑舘,44.167023700000000,142.397312800000000,0165-26-7878,0165-23-1151,3450001010289,株式会社　紫苑,0173200882,,,30,,,,,
012254,0177500329,北海道,滝川市,特定施設入居者生活介護　カーサシーザーズ,トクテイシセツニュウキョシャセイカツカイゴ　カーサシーザーズ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,滝川市本町1丁目5番27号カーサシーザーズ,カーサシーザーズ,43.559072300000000,141.905400900000020,0125-44-2401,0125-22-3636,,有限会社　クリニカ,0177500329,,,39,http://www.caeser.or.jp/casa/,,,,
