都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012271,0177100559,北海道,歌志内市,外部サービス利用型指定特定施設入居者生活介護事業所　楽生園,ガイブサービスリヨウガタシテイトクテイシセツニュウキョシャセイカツカイゴジギョウショ　ラクセイエン,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,北海道歌志内市字文珠244番地2,,43.501472400000000,142.000447799999960,0125-42-2468,0125-42-2847,,社会福祉法人　ほく志会,0177100559,,,,http://www.hokushikai.jp/,,,,
015784,0173602236,北海道,白老町,介護付有料老人ホーム「花つむぎ」,カイゴツキユウリョウロウジンホームハナツムギ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,東町2丁目4番12号,,35.705436800000000,139.386678599999980,0144-82-2227,0144-85-5888,,医療法人社団玄洋会,0173602236,,,,http://www.douousatou.or.jp/shiraoi/shiraoi_yu_hana.html,,,,
012297,0173000399,北海道,富良野市,有料老人ホームすまいるふらの,ユウリョウロウジンホームスマイルフラノ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,北海道富良野市字下御料１９９０番地１６,,43.338923800000000,142.364578899999970,0167-22-2123,0167-22-2122,,株式会社　すまいるふらの,0173000399,,,0,http://smile-furano.com/,,,,
014583,0173100421,北海道,東川町,有料老人ホームゆう,ユウリョウロウジンホームユウ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,北海道上川郡東川町北町4丁目９－２１,,43.704778999999990,142.500792300000060,0166-85-6044,0166-85-6044,,株式会社栄友,0173100421,,,,,,,,
242047,2470701950,三重県,松阪市,養護老人ホーム百花苑,ヨウゴロウジンホームヒャッカエン,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,三重県松阪市井村町２７７番地１,,34.576314900000000,136.511769200000000,0598-21-1982,0598-21-1987,,社会福祉法人すみれ会,2470701950,,,,,,,,
282049,2870904642,兵庫県,西宮市,介護付有料老人ホーム　パセム西宮,カイゴツキユウリョウロウジンホーム　パセムニシノミヤ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,西宮市段上町６丁目２４番４３号,,34.773556900000000,135.369461700000000,０７９８－５３－００５０,０７９８－５３－１１３５,,一般社団法人　マラナタ,2870904642,,,0,http://pacem.or.jp/,,,,
282049,2870904618,兵庫県,西宮市,介護付有料老人ホーム　やすらぎ,カイゴツキユウリョウロウジンホーム　ヤスラギ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,西宮市津門呉羽町9番10号,,34.731733400000000,135.356454900000020,０７９８－３３－３５００,０７９８－３３－３３７０,,株式会社　メディス,2870904618,,,75,http://k-medis.co.jp/,,,,
282065,2871001323,兵庫県,芦屋市,芦屋アラベラの家（外部サービス利用型）,アシヤアラベラノイエ　ガイブサービスリヨウガタ）,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,芦屋市朝日ヶ丘町9－1,,34.746448000000000,135.304409500000020,0797－23－1200,0797－23－2200,8140005002417,芦屋アラベラの家（外部サービス利用型）,2871001323,,,11,http://www.arabella.jp/,,,,
402036,4071603106,福岡県,久留米市,ウエルネス,ウエルネス,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,福岡県久留米市田主丸町田主丸1001-4,,33.336640500000000,130.690322299999930,0943-72-3483,0943-72-3487,2290005010658,ひじり会,4071603106,,,0,http://hijirikai.com/,,,,
406210,4078000363,福岡県,苅田町,介護付有料老人ホーム　メゾン・ド・プレール,カイゴツキユウリョウロウジンホーム　メゾン・ド・プレール,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,福岡県京都郡苅田町大字新津1597番地,,33.750131600000000,130.974344900000000,0930-26-2016,0930-28-8294,6290805006380,社会医療法人　陽明会,4078000363,,,50,http://www.youmeikai.jp/obase,,,,
401331,4071001731,福岡県,福岡市中央区,介護付有料老人ホーム　ヴィラ梅光,カイゴツキユウリョウロウジンホーム　　ゔィラバイコウ,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,福岡県福岡市中央区梅光園３丁目４－１,,33.568698300000000,130.376495400000070,092-737-8165,092-737-3765,8300005002573,社会福祉法人　天寿会,4071001731,,,0,http://www.tenjyukai.com,,,,
422011,4270109681,長崎県,長崎市,外部サービス利用型介護付有料老人ホーム大浦十三番館,ガイブサービスリヨウガタカイゴツキユウリョウロウジンホームオオウラジュウサンバンカン,特定施設入居者生活介護（有料老人ホーム（外部サービス利用型））,長崎県長崎市大浦町3番21号,,32.736263887814210,129.871255789549200,095-822-3355,095-811-3688,8310001003517,株式会社ベスト・スマイル,4270109681,,,35,http://www.ooura13.com,,,,
