都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012254,0177500329,北海道,滝川市,特定施設入居者生活介護　カーサシーザーズ,トクテイシセツニュウキョシャセイカツカイゴ　カーサシーザーズ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),滝川市本町一丁目５番27号,,43.559072300000000,141.905400999999980,0125-44-2401,0125-22-3636,,有限会社　クリニカ,0177500329,,,0,http://www.caeser.or.jp/casa/,,,,
012297,0173000480,北海道,富良野市,特定施設サービス付高齢者向け住宅すえひろ,トクテイシセツサービスツキコウレイシャムケジュウタクスエヒロ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),北海道富良野市末広町6番22号カワムラメディカルビル,カワムラメディカルビル,43.340981700000000,142.386725200000000,0167-22-8822,0167-22-8801,,株式会社　e-ケア,0173000480,,,18,,,,,
032018,0370105231,岩手県,盛岡市,サービス付き高齢者向け住宅ゆうあいの街,サービスツキコウレイシャムケジュウタクユウアイノマチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),岩手県盛岡市北飯岡1丁目2-25,,39.679966100000000,141.132689199999960,019-634-1100,019-634-1150,5400005000693,医療法人友愛会,0370105231,,,0,http://www.yu-ai.net,,,,
082252,0872500145,茨城県,常陸大宮市,養護老人ホームスプレールみのり,ヨウゴロウジンホームスプレールミノリ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),茨城県常陸大宮市小野2128,,36.524668600000000,140.377701100000000,0295-52-0894,0295-54-0222,1050005008405,社会福祉法人　若葉会,0872500145,,,,care-net.biz/08/minorien/,,,,
132128,1373502978,東京都,日野市,サービス付き高齢者向け住宅あすなろ,サービスツキコウレイシャムケジュウタクアスナロ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),東京都日野市百草1042番地の21百草ふくしの里あすなろ,百草ふくしの里あすなろ,35.647272381016556,139.424713338749740,042-599-1440,042-599-1441,,鹿島開発株式会社,1373502978,,,0,http://mogusa-asunaro.jp,,,,
132128,1373501657,東京都,日野市,高齢者専用賃貸住宅　豊かな里,コウレイシャセンヨウチンタイジュウタク　ユタカナサト,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),東京都日野市豊田1-22-2,,35.658172100000000,139.388402499999980,042-589-2366,042-589-2331,7013405000136,社会福祉法人隆山會,1373501657,,,0,http://www.yutakanasato.or.jp,,,,
132187,1374400529,東京都,福生市,パステルライフ福生,パステルライフフッサ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),東京都福生市福生二宮２４６１番地,,35.735867800000010,139.339756500000020,０４２－５３０－３２１１,０４２－５３０－３２１４,2012801002535,扶桑管理サービス株式会社,1374400529,,,44,http://ふそうの介護.net/,,,,
132187,1374400735,東京都,福生市,ゆいま～る拝島,ユイマ～ルハイジマ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),東京都福生市大字熊川1403-1,,35.723041700000000,139.343392900000030,042-513-6409,042-513-6410,8010001042652,株式会社コミュニティネット,1374400735,,,54,http://www.c-net.jp/,,,,
342076,3471506877,広島県,福山市,グッドライフホーム今町,グッドライフホームイママチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),広島県福山市今町3番10号,,34.490044999999990,133.368170599999980,084-923-7155,084-923-7156,7120001120365,グッドライフ株式会社,3471506877,,,50,http://www.livethegoodlife.jp,,,,
342076,3471507388,広島県,福山市,指定特定施設老人ホーム瀬戸の家,シテイトクテイシセツロウジンホームセトノイエ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),福山市瀬戸町山北411-3,,34.473547803695070,133.315610469450350,084-951-1230,084-951-1227,,瀬戸電設工業株式会社,3471507388,,,0,http://www.furusato-seto.jp/,,,,
422011,4270109251,長崎県,長崎市,医療法人　恵会　外部サービス利用型特定施設入居者生活介護事業者　マザリーホーム光風台,イリョウホウジン　メグミカイ　ガイブサービスリヨウガタトクテイシセツニュウキョシャセイカツカイゴジギョウシャ　マザリーホームコウフウダイ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅（外部サービス利用型））),長崎県長崎市鳴見台２丁目４５番２０号,,32.823676900000000,129.806799900000000,095-850-0518,095-850-0538,9310005001350,医療法人恵会,4270109251,,,0,http://www.kfdh.org/motherly/,,,,
