都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012025,0191400027,北海道,函館市,介護付き有料老人ホーム　かめだ,カイゴツキユウリョウロウジンホウム　カメダ,地域密着型特定施設入居者生活介護（有料老人ホーム）,函館市亀田町３番１３号,,41.791852400000000,140.734145200000060,0138-41-5018,0138-41-2228,,有限会社　萬代,0191400027,,,29,http://www.fukase.or.jp/bandai/kameda/index.html,,,,
012025,0191400274,北海道,函館市,介護付有料老人ホームゆう,カイゴツキユウリョウロウジンホームユウ,地域密着型特定施設入居者生活介護（有料老人ホーム）,函館市桔梗1丁目6番1号,1号,41.833335097871775,140.730304058860840,0138-47-6161,0138-47-7887,7440005001257,社会福祉法人七飯有隣会,0191400274,,,29,http://www.nanaeyurinkai.or.jp/,,,,
012025,0191401157,北海道,函館市,介護付き有料老人ホーム白ゆり乃木,カイゴツキユウリョウロウジンホームシラユリノギ,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道函館市乃木町4番53号,,41.782327600000000,140.763832099999940,0138-30-3231,0138-30-3230,,株式会社メディカルシャトー函館,0191401157,,,29,http://www.shirayuri.gr.jp/,,,,
012025,0191401082,北海道,函館市,介護付有料老人ホーム　カーサ石川,カイゴツキユウリョウロウジンホーム　カーサイシカワ,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道函館市石川町464番地1,,41.834561349810270,140.743721019712900,0138-47-8000,0138-47-5887,8440001008478,株式会社ベーネ函館,0191401082,,,0,,,,,
012203,0193200128,北海道,士別市,介護付有料老人ホームあじさい,カイゴツキユウリョウロウジンホームアジサイ,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道士別市東6条5丁目1番地総合福祉センターさんあい,総合福祉センターさんあい,44.177432103504280,142.400164765606630,0165-22-3966,0165-22-3986,6450005002404,医療法人社団三愛会,0193200128,,,0,http://sanai-kai.or.jp/index.html,,,,
012025,0191400209,北海道,函館市,社会福祉法人函館大庚会　介護付有料老人ホームこん,シャカイフクシホウジンハコダテタイコウカイ　カイゴツキユウリョウロウジンホームコン,地域密着型特定施設入居者生活介護（有料老人ホーム）,函館市本町２９番７号,,41.786972899999990,140.754438299999950,0138-33-0777,0138-55-5534,,社会福祉法人函館大庚会,0191400209,,,29,http://www.kon-jp.com/hakodate_taikoukai/,,,,
012025,0191400654,北海道,函館市,介護付有料老人ホームあい日吉,カイゴツキユウリョウロウジンホームアイヒヨシ,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道函館市日吉町2丁目22-12,,41.796167900000010,140.792883200000000,0138-30-7355,0138-30-7022,,社会福祉法人心侑会,0191400654,,,29,http://ai-sinyukai.com,,,,
012025,0191400803,北海道,函館市,グッドタイムホーム・松風,グッドタイムホームマツカゼ,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道函館市松風町13番15号グッドタイムホーム・松風,グッドタイムホーム・松風,41.770836100000000,140.734109399999960,0138-27-1800,0138-27-1810,,株式会社創生事業団,0191400803,,,0,http://www.goodtimehome-north.com,,,,
012025,0191401132,北海道,函館市,介護付有料老人ホーム光風園,カイゴツキユウリョウロウジンホームコウフウエン,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道函館市宮前町11番8号,,41.788419741888276,140.734852002631980,0138-83-7513,0138-44-1501,1440005000231,医療法人鴻仁会,0191401132,,,29,http://www.fukase.or.jp/,,,,
012025,0191401272,北海道,函館市,有料老人ホーム　フルールハピネスみなと,ユウリョウロウジンホーム　フルールハピネスミナト,地域密着型特定施設入居者生活介護（有料老人ホーム）,北海道函館市港町3丁目4番2号株式会社　萌福祉サービス,株式会社　萌福祉サービス,41.811152600000000,140.717719400000000,0138-43-0033,0138-41-3101,3450001009224,株式会社　萌福祉サービス,0191401272,,,,http://moe-fukushi.com,,,,
