都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012050,0193500014,北海道,室蘭市,社会福祉法人母恋　ケアハウス絆,シャカイフクシホウジンボコイ　ケアハウスキズナ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,北海道室蘭市新富町1丁目2番32号,,42.316380666765454,140.988144649598670,0143-83-6511,0143-83-6513,7430005010143,社会福祉法人母恋,0193500014,,,,https://www.shafukubokoi.net,,,,
012084,0195000021,北海道,北見市,ケアハウスゆうあい,ケアハウスユウアイ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,北海道北見市美芳町1丁目8-17,,43.808233400000000,143.880468800000020,0157-31-9115,0157-69-8630,,社会福祉法人北見有愛会,0195000021,,,0,http://kitami-yuuaikai.or.jp/,,,,
012114,0195300090,北海道,網走市,ケアハウス　森の灯り　はまなす,ケアハウス　モリノアカリ　ハマナス,地域密着型特定施設入居者生活介護（軽費老人ホーム）,網走市つくしヶ丘３丁目９－１,,43.993001500000000,144.279837600000060,0152-67-7892,0152-67-7893,,社会福祉法人　緑明会,0195300090,,,0,https://morinoakarihamanasu.com/,,,,
012131,0193600327,北海道,苫小牧市,地域密着型ケアハウスリバーサイド,チイキミッチャクガタケアハウスリバーサイド,地域密着型特定施設入居者生活介護（軽費老人ホーム）,北海道苫小牧市松風町2番15号,,42.637827600000000,141.558639800000040,0144-74-5599,0144-74-3390,1430005008853,社会福祉法人緑陽会,0193600327,,,0,http://www.ryokuyoukai.or.jp/,,,,
012050,0193500048,北海道,室蘭市,ケアハウス白鳥の丘,ケアハウス　ハクチョウノオカ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,室蘭市白鳥台５丁目１８番５号,,42.380145100000000,140.941959200000040,0143-59-2100,0143-59-2101,,医療法人五紀会,0193500048,,,0,http://taiheiyo.jp/webpage/care-house.html,,,,
012289,0197400088,北海道,深川市,ケアハウスえんれい草,ケアハウスエンレイソウ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,北海道深川市４条１２番６号,,43.720286346437405,142.047817004893460,0164-26-1165,0164-26-8200,,アンリー・デュナン会,0197400088,,,29,http://www.henry-dunant.or.jp,,,,
013617,0191600022,北海道,江差町,ケアハウスかもめ荘,ケアハウスカモメソウ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,北海道檜山郡江差町字桧岱２１７番地３,,41.869050900000000,140.146356100000050,0139-54-5400,0139-54-5411,,社会福祉法人ひのき会,0191600022,,,20,http://www.hinokikai.jp,,,,
015458,0195300033,北海道,斜里町,ケアハウスやすらぎの苑,ケアハウス　ヤスラギノソノ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,北海道斜里郡斜里町青葉町３８番地,,43.903799300000000,144.662391800000020,0152-23-2552,0152-23-0467,4460305001544,社会福祉法人斜里福祉会,0195300033,,,0,https://www.protech-web.co.jp/homepage/sharifukushikai/index.html,,,,
022012,0290100205,青森県,青森市,ケアハウス幸陽,ケアハウス　コウヨウ,地域密着型特定施設入居者生活介護（軽費老人ホーム）,青森市大字矢田字下野尻48番2,,40.846827100000000,140.847195999999940,017-726-1777,017-737-3339,1420005000407,社会福祉法人　和幸園,0290100205,,,29,http://www.wakouen.or.jp/,,,,
032069,0390600310,岩手県,北上市,ケアハウス常心の里,ケアハウスジョウシンノサト,地域密着型特定施設入居者生活介護（軽費老人ホーム）,岩手県北上市常盤台四丁目７番３２号,,39.307009600000000,141.110554399999950,0197-87-9088,0197-87-9090,3400005003657,社会福祉法人常心福祉会,0390600310,,,0,http://caretokiwa.main.jp/intro/jyohsin-main/,,,,
032093,0390900264,岩手県,一関市,介護付きケアハウス　プレシオーソ中里,カイゴツキケアハウス　プレシオーソナカサト,地域密着型特定施設入居者生活介護（軽費老人ホーム）,岩手県一関市中里字在家27番地1,,38.940045700479810,141.147956804368600,0191-48-5065,0191-48-5066,8370205001773,医療法人一秀会,0390900264,,,0,,,,,
032093,0390900249,岩手県,一関市,ケアハウスぽらん,ケアハウスポラン,地域密着型特定施設入居者生活介護（軽費老人ホーム）,岩手県一関市千厩町磐清水字二本松93番地ケアハウスぽらん,ケアハウスぽらん,38.940110895254870,141.337728416671800,0191-48-4186,0191-52-2821,5400505000672,社会福祉法人千珠会,0390900249,,,0,https://sensyukai.wixsite.com/mysite,,,,
042056,0490500188,宮城県,気仙沼市,ケアハウス大谷春圃苑,ケアハウスオオヤシュンポエン,地域密着型特定施設入居者生活介護（軽費老人ホーム）,宮城県気仙沼市本吉町長根151番地1,,38.821988087436580,141.569126889825600,0226-25-8182,0226-44-2725,8370505000038,春圃会,0490500188,,,20,http://syunpo-kai.com/,,,,
