都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012033,0192000099,北海道,小樽市,ヴェラス・クオーレ小樽,ベラスクオーレオタル,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道小樽市花園1丁目1番9号,,43.193789300000000,140.999728099999970,0134-24-8080,0134-24-8058,,株式会社光ハイツヴェラス,0192000099,,,69,http://www.varus.co.jp/,,,,
012025,0191400498,北海道,函館市,地域密着型特定施設ケアホームくうら,チイキミッチャクガタトクテイシセツケアホームクウラ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市川原町1番3-1号,,41.792322800000000,140.767137400000020,0138-87-2485,0138-87-2486,,医療法人社団くうら,0191400498,,,29,http://www.cura.or.jp/carehomecura.html,,,,
012025,0191400431,北海道,函館市,地域密着型特定施設　花水季,チイキミッチャクガタトクテイシセツ　ハナミズキ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市栄町7番地4号,,41.765050359704670,140.724124023278820,0138-22-8884,0138-27-5833,9440001006992,株式会社　清野,0191400431,,,0,https://tamakijapon.wixsite.com/hakodate-hanamizuki,,,,
012025,0191400167,北海道,函館市,地域密着型特定施設平和の森美原,チイキミッチャクガタトクテイシセツヘイワノモリミハラ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道函館市美原3丁目53－30,,41.823263100000000,140.742370899999970,0138-47-8899,0138-47-8844,,平和興産株式会社,0191400167,,,0,http://www.heiwakousan.co.jp/heiwanomori,,,,
022039,0290300102,青森県,八戸市,金吹沢の森,カナフキザワノモリ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県八戸市大字大久保字大山7番地,,40.496585595297080,141.574188376721170,0178-34-2681,0178-34-2682,6420005002695,弘仁会,0290300102,,,17,,,,,
022063,0290600071,青森県,十和田市,地域密着型特定施設なかよし荘,チイキミッチャクガタトクテイシセツナカヨシソウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県十和田市大字深持字南平312番1,,40.615346700000000,141.172719300000040,0176-58-5160,0176-58-5161,6420005005715,社会福祉法人義乃会,0290600071,,,24,http://www.nakayoshi-sou.or.jp,,,,
032051,0390500247,岩手県,花巻市,生活支援住宅六花,セイカツシエンジュウタクリッカ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,岩手県花巻市大畑第1地割24番地2,,39.451552900000000,141.076675300000030,0198-29-6088,0198-29-6077,4400001009946,株式会社六花,0390500247,,,18,http://www.kankyowebtown.com/ricca/,,,,
052035,0590300208,秋田県,横手市,特定施設入居者生活介護さくら,トクテイシセツニュウキョシャセイカツカイゴサクラ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,横手市駅前町１３番２２号,,39.305727784794230,140.562869538076700,0182-23-8602,0182-23-8603,5410005005329,社会福祉法人横手福祉会,0590300208,,,29,http://www.yokotefukushikai.or.jp,,,,
062014,0690100862,山形県,山形市,サービス付き高齢者向け住宅小白川,サービスツキコウレイシャムケジュウタクコジラカワ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,山形県山形市小白川町二丁目3番1号　小白川ケアセンター内,,38.249623300000000,140.350380900000000,023-616-5080,023-616-5081,3010405001696,社会福祉法人恩賜財団済生会支部山形県済生会,0690100862,,,0,https://yamagata-saiseikai.org/,,,,
072044,0790400394,福島県,いわき市,フォレストタウン,フォレストタウン,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,福島県いわき市平字紅葉町４０番地の９,,37.064573100000000,140.892119999999980,0246-84-9904,0246-84-9904,,有限会社　いわきケアフォレスト,0790400394,,,,http://www.kaigonomori.com/index.htm,,,,
072109,0791000052,福島県,二本松市,JWS陽だまりの郷　地域密着型特定施設入居者生活介護,ジェイダブリュエスヒダマリノサトチイキミッチャクガタトクテイシセツニュウキョシャセイカツカイゴ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,福島県二本松市表二丁目772,,37.604403200000000,140.436066900000010,0243-62-1031,0243-62-1032,7380001021760,日本福祉サービス株式会社,0791000052,,,0,http://jws-c.jp,,,,
112291,1192300083,埼玉県,和光市,特定施設　リーシェガーデン和光,トクテイシセツ　リーシェガーデンワコウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,和光市丸山台２丁目－11番－１号リーシェガーデン和光,リーシェガーデン和光,35.784199500000000,139.616978300000030,048-485-9954,048-450-3151,9110001006704,株式会社東日本福祉経営サービス,1192300083,,,29,http://www.ej-welfare.jp,,,,
114081,1194500102,埼玉県,寄居町,おぶすまの里　2号館,オブスマノサト　ニゴウカン,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,埼玉県大里郡寄居町牟礼1508－1,,36.105471286050616,139.256317308351100,048(582)0150,,1030005013927,医療法人社団明和会,1194500102,,,14,http://meiwa-obusuma@o.oo7.jp,,,,
122050,1291000188,千葉県,館山市,ヴェルデセントレ北条,ウ゛ェルデセントレホウジョウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,千葉県館山市北条１０９０－３,,34.993947700000010,139.870157000000060,0470-22-8886,0470-23-1969,9040005014974,医療法人博正会,1291000188,,,0,http://hakuseikai.net/centre/,,,,
152251,1592300147,新潟県,魚沼市,ヴィラ上町,ビラカンマチ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,新潟県魚沼市小出島107-3,,37.230953300000000,138.962222600000020,025-793-3535,025-793-3016,9010801000726,株式会社　アルプスビジネスクリエーション,1592300147,,,0,,,,,
152251,1592300188,新潟県,魚沼市,ヴィラすわ町,ヴィラスワチョウ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,新潟県魚沼市諏訪町1-12MeCS上村ビル,MeCS上村ビル,37.232447600000000,138.960042299999940,025-793-7763,025-793-7761,9010801000726,株式会社アルプスビジネスクリエーション,1592300188,,,0,http://www.alpsbc.co.jp/,,,,
202029,2090200136,長野県,松本市,地域密着型特定施設里山辺の杜,チイキミッチャクガタトクテイシセツサトヤマベノモリ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,松本市里山辺７６-１,,36.246788100000000,137.997905800000000,0263-33-2760,0263-33-2761,,社会福祉法人大志会,2090200136,,,0,http://wwwsatoyamabe-mori.com,,,,
202045,2090400181,長野県,岡谷市,おはな　和が家,オハナ　ワガヤ,地域密着型特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,長野県岡谷市山手町2-3-26,,36.065020500000000,138.042244600000000,0266-78-8481,,,株式会社　和が家,2090400181,,,,,,,,
