都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012297,0173000035,北海道,富良野市,特別養護老人ホーム　北の峯ハイツ,トクベツヨウゴロウジンホーム　キタノミネハイツ,介護老人福祉施設,富良野市中御料地２０６７の３,,43.318050400000000,142.363782000000010,0167-23-1611,0167-23-1711,,社会福祉法人　富良野あさひ郷,0173000035,,,,http://www.furanoasahigou.or.jp/,,,,
014079,0172500035,北海道,仁木町,特別養護老人ホーム　仁木長寿園,トクベツヨウゴロウジンホーム　ニキチョウジュエン,介護老人福祉施設,北海道余市郡仁木町北町８丁目４０番地４,,43.164067900000000,140.771711999999980,0135-32-3585,0135-32-2730,,社会福祉法人　仁木福祉会,0172500035,,,0,,,,,
011061,0170505036,北海道,札幌市南区,特別養護老人ホームらいらっく,トクベツヨウゴロウジンホームライラック,介護老人福祉施設,札幌市南区藤野4条4丁目20番30号,,42.956322600000000,141.301727499999970,011-591-9000,011-591-9100,1430005004547,社会福祉法人　北志会,0170505036,,,0,http://www.hokushikai-lilac.com/,,,,
012084,0175012087,北海道,北見市,特別養護老人ホーム　くつろぎ,トクベツヨウゴロウジンホーム　クツロギ,介護老人福祉施設,北見市とん田東町４４４－１,,43.797506700000000,143.879274900000040,0157-33-5537,0157-24-7733,,社会福祉法人　治恵会,0175012087,,,110,http://www.jikei-kutsurogi.org,,,,
012084,0175012228,北海道,北見市,JA北海道厚生連特別養護老人ホームところ,ジェイエイホッカイドウコウセイレントクベツヨウゴロウジンホームトコロ,介護老人福祉施設,北海道北見市常呂町字東浜21番地1,,44.125221800000000,144.092324900000000,0152-54-2273,0152-54-3133,2430005003069,北海道厚生農業協同組合連合会,0175012228,,,0,http://www.dou-kouseiren.com/shisetsu/tokuyo_tokoro/,,,,
014028,0172300253,北海道,岩内町,社会福祉法人渓仁会　介護老人福祉施設岩内ふれ愛の郷,シャカイフクシホウジンケイジンカイ　カイゴロウジンフクシシセツイワナイフレアイノサト,介護老人福祉施設,岩内郡岩内町字野束69番地4,,42.967691900000000,140.509734699999970,0135-62-3131,0135-62-3008,,社会福祉法人渓仁会,0172300253,,,0,http://www.keijinkai.com/shahuku/,,,,
012025,0171500291,北海道,函館市,特別養護老人ホームみなみかやべ荘,トクベツヨウゴロウジンホームミナミカヤベソウ,介護老人福祉施設,函館市川汲町９８６番１３,,41.901778600000010,140.985860799999950,0135-25-5300,0138-25-5874,,社会福祉法人函館共愛会,0171500291,,,50,http://honbu.kyouai-kai.com/index.html,,,,
012025,0171401177,北海道,函館市,社会福祉法人函館大庚会　特別養護老人ホーム　「松濤」,シャカイフクシホウジンハコダテタイコウカイ　トクベツヨウゴロウジンホームショウトウ,介護老人福祉施設,北海道函館市松風町１８番１５号,,41.773168000000000,140.732071099999980,0138-27-0077,0138-27-7007,9440005001222,社会福祉法人函館大庚会,0171401177,,,50,https://www.hakodate-taikoukai.jp/,,,,
012084,0175000215,北海道,北見市,特別養護老人ホームこもれびの里,トクベツヨウゴロウジンホームコモレビノサト,介護老人福祉施設,北海道北見市北光280番地7,,43.779511199999990,143.867759999999970,0157-68-1165,0157-26-0500,3460305000101,社会福祉法人きたの愛光会,0175000215,,,0,http://mintpia.jp/aikoukai,,,,
012084,0175012640,北海道,北見市,特別養護老人ホーム　くつろぎユニット,トクベツヨウゴロウジンホーム　クツロギユニット,介護老人福祉施設,北海道北見市とん田東町３８１－１６,,43.790738100000000,143.881319500000020,0157-33-5537,0157-24-7733,2460305001777,社会福祉法人　治恵会,0175012640,,,35,http://www.jikei-kutsurogi.org/,,,,
