都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012084,0155080039,北海道,北見市,介護老人保健施設さくら,カイカイゴロウジンホケンシセツサクラ,介護老人保健施設,北海道北見市北光280番6号,,43.778783600000000,143.867901599999980,0157-68-1139,0157-68-1133,1460305000169,医療法人社団煌生会,0155080039,,,0,http://www.mintpia.jp/sakura/,,,,
012025,0151480043,北海道,函館市,介護老人保健施設ケンゆのかわ,カイゴロウジンホケンシセツケンユノカワ,介護老人保健施設,北海道函館市湯川町3丁目29番15号,,41.783655000000000,140.791242099999980,0138-59-1211,0138-59-3990,,社会福祉法人函館厚生院,0151480043,,,0,http://ken-yuno.koseiin.or.jp/,,,,
012068,0154180020,北海道,釧路市,道東勤医協老人保健施設ケアコートひまわり,ドウトウキンイキョウ　ロウジンホケンシセツケアコートヒマワリ,介護老人保健施設,北海道釧路市堀川町8番43号,,42.998353644424675,144.392599307934570,0154-24-1165,0154-23-7665,2460005000393,医療法人道東勤労者医療協会,0154180020,,,0,http://dotokin-kaigo.com/,,,,
012076,0154680029,北海道,帯広市,十勝勤医協老人保健施設ケアセンター白樺,トカチキンイキョウロウジンホケンシセツケアセンターシラカバ,介護老人保健施設,北海道帯広市白樺１６条西２丁目,,42.918180031584670,143.174106792204270,0155-41-1165,0155-41-1161,,医療法人十勝勤労者医療協会,0154680029,,,0,http://www.tokachi-kin-ikyo.or.jp/care-center/index.html,,,,
012106,0155780034,北海道,岩見沢市,介護老人保健施設　ゆあみーる,カイゴロウジンホケンシセツ　ユアミール,介護老人保健施設,岩見沢市８条西１９丁目８－１,,43.191002600000000,141.752543699999930,0126-20-2311,0126-20-2312,,医療法人　萌佑会,0155780034,,,0,http://www.iwamizawanouge.com/facilities/index.shtml,,,,
012106,0155780018,北海道,岩見沢市,北村温泉ナーシングホーム,キタムラオンセンナーシングホーム,介護老人保健施設,北海道岩見沢市北村赤川５８６番地６３,,43.260346400000000,141.701321300000020,0126-56-2241,0126-55-3354,7430005005688,医療法人友愛会,0155780018,,,0,http://www.kitamura-yuai.jp/,,,,
012122,0156480014,北海道,留萌市,介護老人保健施設　サンライズ留萌,カイゴロウジンホケンシセツ　サンライズルモイ,介護老人保健施設,留萌市東雲町２丁目,,43.933174219855740,141.677660843016470,0164-43-1195,0164-43-1184,,優仁会,0156480014,,,,,,,,
012157,0156180028,北海道,美唄市,コミュニティホーム美唄,コミュニティホームビバイ,介護老人保健施設,北海道美唄市東5条南7丁目5番1号,,43.318105500000000,141.869437500000000,0126-66-2001,0126-66-2005,5430005000583,社会福祉法人　渓仁会,0156180028,,,80,http://www.keijinkai.com/c-bibai/,,,,
012173,0151080074,北海道,江別市,介護老人保健施設葵の園・江別,カイゴロウジンホケンシセツアオイノソノ・エベツ,介護老人保健施設,北海道江別市大麻南樹町１－１,,43.082389900000000,141.502642899999950,011-387-6655,011-387-6656,,葵新生会,0151080074,,,0,http://www.aoikai.jp/,,,,
012246,0151180015,北海道,千歳市,介護老人保健施設　クリアコート千歳,カイゴロウジンホケンシセツ　クリアコートチトセ,介護老人保健施設,北海道千歳市桂木1丁目5番7号介護老人保健施設　クリアコート千歳,介護老人保健施設　クリアコート千歳,42.819593775077140,141.623878242641000,0123-27-3232,0123-27-3207,8430005005877,医療法人資生会,0151180015,,,0,http://www.siseikai.or.jp,,,,
