都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012084,0175011543,北海道,北見市,北見北斗病院,キタミホクトビョウイン,介護療養型医療施設,北海道北見市北5条西1丁目6番地,,43.806587158212400,143.892478526319900,0157-23-3225,0157-23-3113,,北見北斗病院,0175011543,,,0,http://www.kitami-hokuto.com,,,,
011037,0110214350,北海道,札幌市東区,医療法人社団英仁会　札苗病院,イリョウホウジンシャダンエイジンカイ　サツナエビョウイン,介護療養型医療施設,北海道札幌市東区東苗穂７条２丁目8番２０号,,43.094838100000000,141.412755299999960,011-783-3311,011-783-3343,,医療法人社団英仁会,0110214350,,,0,http://satsunae-hp.jp/,,,,
011053,0110317732,北海道,札幌市豊平区,北樹会病院,ホクジュカイビョウイン,介護療養型医療施設,北海道札幌市豊平区月寒西５条８丁目４番３２号,,43.025816800000010,141.386600600000060,011-856-1111,011-856-1116,,医療法人社団北樹会病院,0110317732,,,0,http://www.hokujyukai.jp/,,,,
011096,0110413523,北海道,札幌市手稲区,医療法人勉仁会　中垣病院,イリョウホウジンベンジンカイナカガキビョウイン,介護療養型医療施設,札幌市手稲区金山1条2丁目1番6号,,43.130219300000000,141.207065000000060,011-682-3011,011-684-0828,3430005001518,医療法人勉仁会,0110413523,,,0,http://www.nakagaki-hp.or.jp,,,,
012041,0112911383,北海道,旭川市,大西病院,オオニシビョウイン,介護療養型医療施設,旭川市4条通11丁目右３号,,43.767153896402230,142.365726720762600,0166-26-2171,0166-25-9260,3450005000360,医療法人回生会,0112911383,,,0,http://www.kai-sei-kai.com/,,,,
012106,0115712358,北海道,岩見沢市,医療法人社団すずかけ会松藤医院,イリョウホウジンシャダンスズカケカイマツフジイイン,介護療養型医療施設,岩見沢市２条西４丁目８番地,,43.203598589347250,141.762128599999980,0126-22-3521,0126-22-3251,,医療法人社団すずかけ会,0115712358,,,19,matsufuji@kbh.biglobe.jp,,,,
011100,0110513892,北海道,札幌市清田区,医療法人北武会　美しが丘病院,イリョウホウジンホクブカイ　ウツクシガオカビョウイン,介護療養型医療施設,北海道札幌市清田区真栄６１－１,,42.993197300000000,141.437756300000050,011-883-8881,011-883-1107,2430005001519,医療法人北武会,0110513892,,,0,http://www.hokubukai.or.jp/content01/index.html,,,,
012033,0112013438,北海道,小樽市,医療法人社団　三ッ山病院,イリョウホウジンシャダン　ミツヤマビョウイン,介護療養型医療施設,小樽市稲穂1丁目9番2号,,43.194047600000000,140.997192199999970,0134-23-1289,0134-24-0293,5430005007744,医療法人社団三ツ山病院,0112013438,,,,http://www.mitsuyama-hp.com/,,,,
012025,0111414405,北海道,函館市,医療法人敬仁会　函館おしま病院,イリョウホウジンケイジンカイ　ハコダテオシマビョウイン,介護療養型医療施設,北海道函館市的場町１９番６号,,41.777848700000000,140.753144499999960,0138-56-2308,0138-56-2316,8440005000225,医療法人　敬仁会,0111414405,,,36,http://www.oshima-hp.or.jp,,,,
012025,0111416160,北海道,函館市,医療法人聖仁会　森病院,イリョウホウジンセイジンカイモリビョウイン,介護療養型医療施設,北海道函館市桔梗町５５７番地,,41.860445800000000,140.753513399999970,0138-47-2222,0138-47-2200,9440005200025,医療法人　聖仁会,0111416160,,,0,http://www.seijinkai-mori.jp,,,,
012025,0111410346,北海道,函館市,社会医療法人高橋病院,シャカイイリョウホウジンタカハシビョウイン,介護療養型医療施設,北海道函館市元町32番18号,,41.765393400000000,140.712117300000040,0138-23-7221,0138-27-1511,,社会医療法人高橋病院,0111410346,,,0,http://takahashi-group.jp,,,,
012033,0112015029,北海道,小樽市,本間内科医院,ホンマナイカイイン,介護療養型医療施設,北海道小樽市稲穂2丁目19番13号,,43.196658400000020,140.995803300000030,0134-25-3361,0134-25-3365,,医療法人社団　本間内科医院,0112015029,,,,http://nttbj.itp.ne.jp/0134253361/index.html,,,,
012041,0112914890,北海道,旭川市,医療法人社団はらだ病院,イリョウホウジンシャダンハラダビョウイン,介護療養型医療施設,北海道旭川市１条通１６丁目右７号,,43.761400700000000,142.372401800000030,0166-23-2780,0166-25-7893,4450005000541,医療法人社団はらだ病院,0112914890,,,0,http://www.ahmic21.ne.jp/harada.hp/,,,,
012041,0112917174,北海道,旭川市,旭川高砂台病院,アサヒカワタカサゴダイビョウイン,介護療養型医療施設,旭川市高砂台１丁目１番２２号,,43.768331300000010,142.312424100000040,0166-61-5700,0166-61-5089,,医療法人社団恩和会,0112917174,,,0,http://takasagodai.com,,,,
012084,0115012759,北海道,北見市,北見北斗病院,キタミホクトビョウイン,介護療養型医療施設,北海道北見市北5条西1丁目6番地,,43.806686169041896,143.892555255958540,0157-23-3225,0157-23-3113,8460305001887,医療法人北見北斗病院,0115012759,,,0,http://kitami-hokuto.com/,,,,
012084,0115012072,北海道,北見市,医療法人社団北星会　大内医院,イリョウホウジンシャダンホクセイカイ　オオウチイイン,介護療養型医療施設,北見市北2条西3丁目16番地,,43.803725800000000,143.892559500000060,0157-24-0001,0157-61-1774,7460305000155,医療法人社団北星会,0115012072,,,0,http://www.ohuchi-clinic.com/,,,,
012173,0111013728,北海道,江別市,医療法人友愛会　友愛記念病院,イリョウホウジンユウアイカイ　ユウアイキネンビョウイン,介護療養型医療施設,江別市新栄台46番地の1,,43.108618200000000,141.512065200000050,011-383-4124,011-383-4275,,医療法人友愛会,0111013728,,,0,http://yuaikinen.or.jp/,,,,
012319,0111210373,北海道,恵庭市,医療法人盟侑会　島松病院,イリョウホウジンメイユウカイ　シママツビョウイン,介護療養型医療施設,北海道恵庭市西島松570,,42.911029827277280,141.560650114819300,0123-36-5181,0123-36-5184,,医療法人　盟侑会,0111210373,,,,http://www.shimamatuhp.jp,,,,
015849,0113711121,北海道,洞爺湖町,洞爺温泉病院,トウヤオンセンビョウイン,介護療養型医療施設,虻田郡洞爺湖町洞爺町５４番地４１,,42.656413081288340,140.830646773507880,0142-87-2311,0142-87-2260,2430005009751,医療法人社団　洞仁会,0113711121,,,0,http://www.toya-onsen-hospital.or.jp,,,,
016659,0114311418,北海道,弟子屈町,ＪＡ北海道厚生連　摩周厚生病院,ジェイエイホッカイドウコウセイレン　マシュウコウセイビョウイン,介護療養型医療施設,川上郡弟子屈町泉２丁目３番１号,,43.481520600000000,144.463359500000020,015-482-2241,015-482-8222,,北海道厚生農業協同組合連合会,0114311418,,,0,http://www.dou-kouseiren.com/byouin/masyuu/,,,,
011061,0110318631,北海道,札幌市南区,医療法人札幌エルム病院,イリョウホウジンサッポロエルムビョウイン,介護療養型医療施設,札幌市南区石山１０４８番地１の２,,42.940433700000000,141.330375799999960,011-591-2886,011-592-1404,,医療法人札幌エルム病院,0110318631,,,0,http://www.sapporo-elm.or.jp,,,,
011070,0110410057,北海道,札幌市西区,医療法人耕仁会　札幌太田病院,イリョウホウジンコウジンカイ　サッポロオオタビョウイン,介護療養型医療施設,札幌市西区山の手5条5丁目１番１号,,43.070934049961700,141.292363314680400,011-644-5111,011-644-1001,2430005001452,医療法人耕仁会,0110410057,,,0,http://www.sapporo-ohta.or.jp/,,,,
011053,0110318110,北海道,札幌市豊平区,医療法人　小坂病院,イリョウホウジン　コサカビョウイン,介護療養型医療施設,札幌市豊平区福住２条２丁目９－１,,43.017093300000000,141.402174699999930,011-854-3161,011-856-3811,,医療法人　小坂病院,0110318110,,,0,http://kosakabyoin.byoinnavi.jp,,,,
011088,0110511888,北海道,札幌市厚別区,記念塔病院,キネントウビョウイン,介護療養型医療施設,北海道札幌市厚別区厚別東４条３丁目３－６,,43.048175800000000,141.481704900000070,011-898-1521,011-898-2821,9430005004143,社会医療法人交雄会メディカル,0110511888,,,0,http://www.kinentou.or.jp/,,,,
011096,0110416120,北海道,札幌市手稲区,医療法人　北武会　北都病院,イリョウホウジン　ホクブカイ　ホクトビョウイン,介護療養型医療施設,札幌市手稲区手稲山口550番2,,43.141493100000000,141.210103000000000,011-683-6667,011-683-9393,2430005001519,医療法人　北武会,0110416120,,,0,http://www.hokubukai.or.jp/,,,,
011070,0110415387,北海道,札幌市西区,平和病院,ヘイワビョウイン,介護療養型医療施設,札幌市西区平和２条１１丁目２番１号,,43.056973200000000,141.243638400000000,011-662-2525,011-662-2749,,医療法人社団　静和会,0110415387,,,40,http://www.seiwa-kai.or.jp/heiwa-hosp,,,,
011088,0110510476,北海道,札幌市厚別区,医療法人中山会　新札幌パウロ病院,イリョウホウジンナカヤマカイシンサッポロパウロビョウイン,介護療養型医療施設,札幌市厚別区厚別東２条６丁目４番１号,,43.046512200000000,141.489862600000040,011-897-4111,011-897-4114,7430005003270,医療法人中山会,0110510476,,,0,http://www.byo-in.com/,,,,
