都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012157,0196100044,北海道,美唄市,地域密着型特別養護老人ホーム　東明かなで～る,チイキミッチャクガタトクベツヨウゴロウジンホーム　トウメイカナデ～ル,地域密着型介護老人福祉施設入所者生活介護,北海道美唄市東8条北6丁目1番6号,,43.336793000000000,141.886477000000000,0126-66-7711,0126-66-7712,,社会福祉法人恵和会,0196100044,,,0,http://www.b-keiwakai.or.jp,,,,
012041,0192902161,北海道,旭川市,地域密着型特別養護老人ホーム　ヴィラ･プラタナス,チイキミッチャクガタトクベツヨウゴロウジンホーム　ウ゛ィラ・プラタナス,地域密着型介護老人福祉施設入所者生活介護,北海道旭川市大町1条18丁目134番6,,43.798281400000000,142.342200199999980,0166-50-0011,0166-54-3618,,社会福祉法人寿光会,0192902161,,,0,https://www.jukoukai.net/,,,,
012084,0195003272,北海道,北見市,特別養護老人ホームフルーツ,トクベツヨウゴロウジンホームフルーツ,地域密着型介護老人福祉施設入所者生活介護,北海道北見市北進町7丁目6番11号フルーツ,フルーツ,43.804386099999990,143.868350500000000,0157-69-3385,0157-69-3336,1460305001274,社会福祉法人恵和福祉会,0195003272,,,,http://www.keiwafukushi.jp/,,,,
012076,0194600185,北海道,帯広市,地域密着型介護老人福祉施設　光輪,チイキミッチャクガタカイゴロウジンフクシシセツ　コウリン,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西5条南30丁目10番地,,42.897344100000000,143.201600900000020,0155-22-5060,0155-27-6541,2460105000459,社会福祉法人　真宗協会,0194600185,,,,http://www.kourin.shinsyukyoukai.jp,,,,
012114,0195300116,北海道,網走市,地域密着型介護老人福祉施設　みなとレインボーハイツ,チイキミッチャクガタカイゴロウジンフクシシセツ　ミナトレインボーハイツ,地域密着型介護老人福祉施設入所者生活介護,北海道網走市南6条東6丁目8番地の3,,44.020370900000000,144.276572999999980,0152-45-0700,0152-61-1616,,社会福祉法人　網走福祉協会,0195300116,,,0,http://www.rainbow-heights.com,,,,
012114,0195300256,北海道,網走市,特別養護老人ホーム　なないろ館,トクベツヨウゴロウジンホーム　ナナイロカン,地域密着型介護老人福祉施設入所者生活介護,北海道網走市南６条東３丁目５番地,,44.019799235470510,144.271674752498460,0152-67-5516,0152-67-8016,,社会福祉法人　網走福祉協会,0195300256,,,,https://www.rainbow-heights.com,,,,
012262,0197100076,北海道,砂川市,地域密着型特別養護老人ホーム福寿園（サテライト型）,チイキミッチャクガタトクベツヨウゴロウジンホームフクジュエン　サテライトガタ,地域密着型介護老人福祉施設入所者生活介護,北海道砂川市三砂町５５番地６,,43.491433227654370,141.911580895631460,0125‐54‐1000,0125‐52‐2170,3430005007440,社会福祉法人砂川福祉会,0197100076,,,28,http://sunagawafukushikai.jp/,,,,
012301,0193500238,北海道,登別市,緑風園サテライト型特別養護老人ホーム　ニナルカの里,リョクフウエンサテライトガタトクベツヨウゴロウジンホーム　ニナルカノサト,地域密着型介護老人福祉施設入所者生活介護,北海道登別市千歳町2丁目11番地10,,42.419399887168930,141.115466660574380,0143-84-1612,0143-84-1623,,社会福祉法人登別千寿会,0193500238,,,29,http://www.ryokufuu.com,,,,
015857,0193600475,北海道,安平町,サテライト型特別養護老人ホーム早来陽光苑,サテライトガタトクベツヨウゴロウジンホームハヤキタヨウコウエン,地域密着型介護老人福祉施設入所者生活介護,北海道勇払郡安平町早来栄町164番地３,,42.762392899999990,141.817139600000020,0145-26-2231,0145-26-2232,,社会福祉法人追分あけぼの会,0193600475,,,0,http://oiwake-akebono.net,,,,
013455,0191513647,北海道,森町,地域密着型特別養護老人ホーム　シャリテの森,チイキミッチャクガタトクベツヨウゴロウジンホーム　シャリテノモリ,地域密着型介護老人福祉施設入所者生活介護,北海道茅部郡森町字砂原2丁目188番地19,,42.121311300000000,140.668794599999960,01374-8-4111,01374-8-4100,,さわら福祉会,0191513647,,,,http://www.charite-sawara.net/,,,,
014311,0197100035,北海道,浦臼町,地域密着型特別養護老人ホームゆうあいの郷,チイキミッチャクガタトクベツヨウゴロウジンホームユウアイノサト,地域密着型介護老人福祉施設入所者生活介護,北海道樺戸郡浦臼町字キナウスナイ１８８番地７０,,43.450856800000000,141.837298299999930,0125-68-2711,0125-67-3117,6450005001595,揺籃会,0197100035,,,20,http://www.yuuainosato.com,,,,
014575,0193100500,北海道,上川町,上川町特別養護老人ホーム大雪荘,カミカワチョウトクベツヨウゴロウジンホームタイセツソウ,地域密着型介護老人福祉施設入所者生活介護,北海道上川郡上川町西町４番地１,,43.854898500000000,142.759445499999970,01658-2-3333,01658-2-3331,1450005000255,社会福祉法人かみかわ福寿園,0193100500,,,20,http://kamikawa-fukujuen.jp/,,,,
014591,0193100427,北海道,美瑛町,美瑛慈光園サテライト特養　燈,ビエイジコウエンサテライトトクヨウ　アカリ,地域密着型介護老人福祉施設入所者生活介護,北海道上川郡美瑛町南町1丁目2番33号,,43.586107000000000,142.465740699999970,0166-92-0740,0166-92-0660,,社会福祉法人　美瑛慈光会,0193100427,,,18,https://www.biei-jikoukai.or.jp,,,,
014729,0197400112,北海道,幌加内町,地域密着型特別養護老人ホーム　テルケア,チイキミッチャキガタトクベツヨウゴロウジンホーム　テルケア,地域密着型介護老人福祉施設入所者生活介護,北海道雨竜郡幌加内町字幌加内926番1,,44.009809700000000,142.153922200000000,0165-36-2336,0165-36-2337,,社会福祉法人寿光会,0197400112,,,0,http://www.jukoukai.net/,,,,
012360,0191513472,北海道,北斗市,地域密着型介護老人福祉施設入居者生活介護　美ヶ丘敬楽荘せせらぎの家ゆとり,チイキミッチャクガタカイゴロウジンフクシシセツニュウショシャセイカツカイゴ　ウツクシガオカケイラクソウセセラギノイエユトリ,地域密着型介護老人福祉施設入所者生活介護,北海道北斗市本町４丁目３番３７号,,41.880366699999996,140.640774500000020,0138-77-5655,0138-77-7311,,社会福祉法人　函館緑花会,0191513472,,,0,http://keirakusou.com/,,,,
012360,0191513654,北海道,北斗市,地域密着型特別養護老人ホームほあかり,チイキミッチャクガタトクベツヨウゴロウジンホームホアカリ,地域密着型介護老人福祉施設入所者生活介護,北海道北斗市清水川1番地1複合型施設いなほ,複合型施設いなほ,41.872760477345980,140.653215604404640,0138-77-8200,0138-77-8209,4440005002308,社会福祉法人雄心会,0191513654,,,0,https://yushin-kai.com/,,,,
012025,0171400211,北海道,函館市,特別養護老人ホーム福寿荘,トクベツヨウゴロウジンホームフクジュソウ,地域密着型介護老人福祉施設入所者生活介護,函館市石川町191-1,,41.836517245019340,140.742962246835300,0138-46-1123,0138-47-5730,8440005000373,社会福祉法人　函館仁愛会,0171400211,,,0,http://www.jinaikai.net,,,,
